course-full,course-code,course-title,course-href,level
AN250 The Anthropology of South Asia,AN250,The Anthropology of South Asia,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN250.htm,Undergraduate
"HY240 From Empire to Commonwealth: war, race and imperialism in British History, 1780 to the present day",HY240,"From Empire to Commonwealth: war, race and imperialism in British History, 1780 to the present day",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY240.htm,Undergraduate
"HY232 War, Genocide and Nation Building. The History of South-Eastern Europe 1914-1990",HY232,"War, Genocide and Nation Building. The History of South-Eastern Europe 1914-1990",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY232.htm,Undergraduate
GV264 Politics and Institutions in Europe,GV264,Politics and Institutions in Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV264.htm,Undergraduate
SA217 Psychology of Crime and Criminal Justice,SA217,Psychology of Crime and Criminal Justice,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA217.htm,Undergraduate
"GY302 Urban Development: Politics, Policy and Planning",GY302,"Urban Development: Politics, Policy and Planning",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY302.htm,Undergraduate
AN301 The Anthropology of Religion,AN301,The Anthropology of Religion,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN301.htm,Undergraduate
SA250 Demographic Description and Analysis,SA250,Demographic Description and Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA250.htm,Undergraduate
"HY206 The International History of the Cold War, 1945-1989",HY206,"The International History of the Cold War, 1945-1989",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY206.htm,Undergraduate
MG307 International Context of Management,MG307,International Context of Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG307.htm,Undergraduate
LL209 Commercial Law,LL209,Commercial Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL209.htm,Undergraduate
"GY205 Political Geographies, Policy and Space",GY205,"Political Geographies, Policy and Space",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY205.htm,Undergraduate
LN200 Russian Language and Society 4 (proficiency),LN200,Russian Language and Society 4 (proficiency),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN200.htm,Undergraduate
HY208 The History of the United States since 1783,HY208,The History of the United States since 1783,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY208.htm,Undergraduate
"EH325 Issues in Modern Japanese Economic Development: Late Industrialisation, Imperialism and High Speed Growth",EH325,"Issues in Modern Japanese Economic Development: Late Industrialisation, Imperialism and High Speed Growth",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH325.htm,Undergraduate
PH201 Philosophy of Science,PH201,Philosophy of Science,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH201.htm,Undergraduate
